domain,concept,concept_en,knhanes_var,knhanes_label,knhanes_years,nhanes_table_J,nhanes_table_P,nhanes_var,nhanes_label,chns_file,chns_var,chns_label,chns_waves,harmonization_notes
demographics,ID,ID,ID,개인아이디,2007-2024,DEMO_J,P_DEMO,SEQN,Respondent sequence number,mast_pub_12,IDind,Individual ID,1989-2015,"Primary key — not linkable across surveys. KNHANES 2007-2009 uses lowercase 'id'"
demographics,조사연도,Survey year,year,조사연도,2007-2024,DEMO_J,P_DEMO,SDDSRVYR,Data release cycle number,all,wave,Survey wave,1989-2015,"KNHANES=calendar year; NHANES=cycle number; CHNS=wave year"
demographics,성별,Sex,sex,성별 (1=남 2=여),2007-2024,DEMO_J,P_DEMO,RIAGENDR,Gender (1=Male 2=Female),mast_pub_12,GENDER,Gender (1=male 2=female),1989-2015,"Direct match: 1=Male 2=Female (all three)"
demographics,나이,Age,age,만나이,2007-2024,DEMO_J,P_DEMO,RIDAGEYR,Age in years at screening,mast_pub_12,WEST_DOB_Y,Western Date of Birth YYYY,1989-2015,"CHNS: derive age = wave_year - WEST_DOB_Y. Truncation to integer."
demographics,인종/민족,Race/ethnicity,—,없음 (단일민족),—,DEMO_J,P_DEMO,RIDRETH3,Race/Hispanic origin w/ NH Asian,mast_pub_12,NATIONALITY,Nationality (Han=1),1989-2015,"KNHANES/CHNS lack race; set country indicator instead. CHNS: 95% Han, can stratify"
demographics,가구소득,Household income,incm,소득4분위수(개인),2007-2024,DEMO_J,P_DEMO,INDFMPIR,Ratio of family income to poverty,indinc_10,indwage,Individual wage income (yuan),1989-2015,"Recode all to quartiles within each country. CHNS: continuous yuan→quartiles within wave"
demographics,교육수준,Education,edu,교육수준 재분류 코드,2007-2024,DEMO_J,P_DEMO,DMDEDUC2,Education level - Adults 20+,educ_12,A12,Highest education level (0-6),1989-2015,"Harmonize to 3-level: ≤HS / Some college / ≥College. CHNS A12: 0=none 1=primary 2=lower-mid 3=upper-mid 4=tech/vocational 5=university 6=master+. Recode: 0-2→low 3-4→mid 5-6→high"
demographics,결혼상태,Marital status,marri_2,결혼상태,2007-2024,DEMO_J,P_DEMO,DMDMARTZ,Marital status,—,—,Not in standard download,—,"CHNS: available in surveys_pub_12 but coding needs verification"
demographics,가중치(설문+검진),Sample weight (interview+exam),wt_itvex,설문검진조사 가중치,2007-2024,DEMO_J,P_DEMO,WTMEC2YR / WTMECPRP,Full sample MEC exam weight,—,—,No formal survey weight,—,"KNHANES: wt_itvex (÷N_years for pooled). NHANES: WTMEC2YR (single) / WTMECPRP (pre-pandemic). CHNS: no formal survey weights — use unweighted with robust SE clustered by communityID"
demographics,층화변수,Stratification,kstrata,분산추정 층,2007-2024,DEMO_J,P_DEMO,SDMVSTRA,Masked variance pseudo-stratum,—,—,No stratification variable,—,"CHNS: no formal stratification. Use province (T1) as stratification if needed"
demographics,집락변수,Cluster (PSU),psu,조사구번호,2007-2024,DEMO_J,P_DEMO,SDMVPSU,Masked variance pseudo-PSU,pexam_00/hlth_12,COMMID,Community ID (T1-T4),1989-2015,"CHNS: COMMID is the primary sampling unit"
exam,신장,Height (cm),HE_ht,신장,2007-2024,BMX_J,P_BMX,BMXHT,Standing height (cm),pexam_00,HEIGHT,Height (cm),1989-2011,"Direct match"
exam,체중,Weight (kg),HE_wt,체중,2007-2024,BMX_J,P_BMX,BMXWT,Weight (kg),pexam_00,WEIGHT,Weight (kg),1989-2011,"Direct match"
exam,BMI,BMI (kg/m²),HE_BMI,체질량지수,2007-2024,BMX_J,P_BMX,BMXBMI,Body mass index (kg/m²),pexam_00,—,Derive BMI=WEIGHT/(HEIGHT/100)^2,1989-2011,"Direct match KR/US. CHNS: derive. Obesity cutoffs: KR≥25 / US≥30 / CN≥28 (WGOC)"
