patient_id,image,label
P01,i01_1.nii.gz,m01_1.nii.gz
P01,i01_2.nii.gz,m01_2.nii.gz
P02,i02_1.nii.gz,m02_1.nii.gz
P03,i03_1.nii.gz,m03_1.nii.gz
P03,i03_2.nii.gz,m03_2.nii.gz
P04,i04_1.nii.gz,m04_1.nii.gz
P05,i05_1.nii.gz,m05_1.nii.gz
P05,i05_2.nii.gz,m05_2.nii.gz
P06,i06_1.nii.gz,m06_1.nii.gz
P07,i07_1.nii.gz,m07_1.nii.gz
P07,i07_2.nii.gz,m07_2.nii.gz
P08,i08_1.nii.gz,m08_1.nii.gz
P09,i09_1.nii.gz,m09_1.nii.gz
P09,i09_2.nii.gz,m09_2.nii.gz
P10,i10_1.nii.gz,m10_1.nii.gz
P11,i11_1.nii.gz,m11_1.nii.gz
P11,i11_2.nii.gz,m11_2.nii.gz
P12,i12_1.nii.gz,m12_1.nii.gz
